Name,Date,tr (s),td (s),Pu (s),log Eu,Delta mag
Gl 15 A,10/7/08,63.4,825.6,11.1,30.4,0.052
Gl 15 A,11/8/08,88.2,59.2,3.9,29.9,0.092
Gl 15 A,11/9/08,102.7,264.5,3.8,29.9,0.031
Gl 15 A,11/9/08,380.3,161.2,7.1,30.2,0.032
Gl 15 A,11/9/08,13.9,293,4.6,30,0
Gl 15 A,11/19/08,221.1,251.7,30,30.8,0.257
Gl 15 A,9/26/09,451,246.8,11.6,30.4,0.037
G1526,3/18/10,85.5,49.6,24.8,31,0.743
G1526,3/18/10,23.3,26.4,8.8,30.6,0.57
Wo 9520,5/20/10,32.1,401.3,56.7,31.3,0.507
Wo 9520,5/20/10,72.2,481.6,63.5,31.4,0.283
Wo 9520,5/24/10,96.5,489.6,84.7,31.5,0.364
Gl 277 A,1/17/09,88.8,343.8,26.8,30.9,0.257
Gl 277 A,1/21/09,236.7,442.4,43.9,31.1,0.156
Gl 277 A,1/22/09,115.3,225.8,9.6,30.4,0.089
Gl 277 A,1/22/09,231.2,1910.3,133.2,31.6,0
Gl 277 A,3/17/09,240.7,1068,48.6,31.2,0.196
Gl 277 A,3/17/09,124.2,639.4,19.6,30.8,0
Gl 277 A,3/31/09,347.9,1291.9,139.3,31.6,0.37
G1408,4/30/09,139.4,4394.7,2962,32.6,3.237
G1408,4/24/10,51.8,121.8,61.2,30.9,0
AD Leo,4/15/08,0,2113.3,208.1,31.5,0.333
AD Leo,4/15/08,182.5,1675.9,229.2,31.6,0.569
AD Leo,4/15/08,229.6,1126.2,187.2,31.5,0.476
AD Leo,2/3/09,231,1632.7,196.6,31.5,0.35
AD Leo,3/12/10,581.2,1306,196.8,31.5,0.467
AD Leo,3/12/10,51.7,191.5,34,30.7,0.375
AD Leo,3/12/10,183.6,1079.7,83.7,31.1,0
AD Leo,3/12/10,174.4,2348.9,143.2,31.4,0
AD Leo,4/2/10,3321.2,3416,2110.4,32.5,0.658
AD Leo,4/2/10,82.5,397.2,51,30.9,0.414
AD Leo,2/11/11,901.8,2195.6,374,31.8,0.893
AD Leo,2/13/11,423.7,2036.1,797.4,32.1,1.534
AD Leo,2/13/11,216.2,1509.4,187.9,31.5,0
AD Leo,2/22/11,56.8,583.1,61.9,31,0.313
AD Leo,2/22/11,519.2,2616.9,470,31.9,0.836
AD Leo,2/24/11,90,120,21,30.5,0.224
AD Leo,2/24/11,210,2004.2,346.8,31.7,0.405
AD Leo,2/24/11,54,1081.8,145,31.4,0.415
AD Leo,4/9/11,73,226.3,29.9,30.7,0
Gl 644 A,5/23/10,126.3,288.2,14.5,30.4,0
Gl 644 A,5/25/10,130.8,200,12.3,30.4,0.166
Gl 644 A,5/25/10,46.1,233.3,17.6,30.5,0.326
Gl 644 A,5/25/10,124.5,631.4,39.5,30.9,0.239
EQPeg,10/1/08,181.6,1342.6,433.9,31.8,0.986
EQPeg,10/1/08,426,2604,5483,32.9,3.397
EQPeg,10/1/08,78.8,775.4,81.3,31,0
EVLac,7/18/09,26,199,7.2,29.7,0.226
EVLac,7/19/09,32,398,3.9,29.4,0
EVLac,9/21/09,93.9,872.7,148,31,0.777
EVLac,9/21/09,495.8,643.2,122,30.9,0.654
EVLac,9/21/09,50.2,599.6,75.4,30.7,0.431
EVLac,9/21/09,92.4,551.8,69.1,30.7,0.363
EV Lac,9/21/09,331,672.5,70.8,30.7,0.192
EVLac,9/24/09,139.6,1338.5,187.6,31.1,0.616
EVLac,9/24/09,49.8,627.5,47.2,30.5,0
EVLac,10/7/09,58.5,185,20.2,30.1,0.259
EVLac,10/7/09,56.8,678.2,70.6,30.7,0.391
EVLac,10/10/09,197.6,3819.6,822.1,31.7,0.827
EVLac,10/10/09,470.9,477.3,83.5,30.7,0.465
EVLac,10/10/09,90.1,483.9,29.9,30.3,0.247
EVLac,10/22/09,34,126.4,25,30.2,0.526
EVLac,10/22/09,60.1,199.5,34,30.4,0.417
EVLac,10/23/09,40.1,427.7,218.8,31.2,1.169
EVLac,10/23/09,409.9,5931.9,31634,33.3,5.301
EVLac,10/23/09,52.8,166.7,14.7,30,0.234
EVLac,10/23/09,69.6,221.6,26.5,30.2,0.335
EVLac,10/23/09,459.5,1062.4,216.7,31.2,0.324
EVLac,10/23/09,805.7,1622.3,1081.8,31.9,1.788
EVLac,10/23/09,60.1,210.4,85.7,30.8,0
EV Lac,EV Lac 2009-10-24,26.2,461.5,70.3,30.7,0.562
EV Lac,EV Lac 2009-10-24,40.1,80.3,15.6,30,0.397
EV Lac,EV Lac 2009-10-24,100.7,570.4,93.4,30.8,1.098
